Time,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,Current_gear_shift_position_(Current_gear),sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,Vehicle_Speed,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1,Predicted_sum,,,
298000,28.71959459,22.3828125,22.59311655,0,0,13.39599609,0,1,48.46811655,35.13964404,729.9054054,-3.000563063,13.97579709,0.171644056,449.8006757,5.12964747,0.372017526,88.0004223,30908.38091,11225.046,,,
299000,28.8421875,22.3828125,22.60767045,0,0,13.39961825,0,1,48.0284446,34.66963335,732.4261364,-3.894886364,13.97908381,0.169352029,443.8823864,5.053267045,0.377805398,87.98433949,31289.81449,11451.092,,,
300000,28.93899148,22.3828125,22.66164773,0,0,13.40771484,0,1,47.29335938,34.0386408,726.8852273,-4.436931818,13.9812722,0.166197343,436.1284091,4.919350364,0.365935725,87.99293324,31661.89432,11671.573,,,
301000,29.05496405,22.3828125,22.65714878,0,0,13.408363,0,1,47.60726632,34.20853066,717.1659292,-4.752212389,13.98021813,0.167142615,438.1399336,4.89626184,0.381732232,87.98295769,32038.14574,11888.474,,,
302000,29.16582207,22.3828125,22.67018581,0,0,13.41992188,0,1,47.30159065,33.99130332,717.1024775,-5.456081081,13.98407147,0.166014525,435.178491,4.89666913,0.379724451,87.97529561,32414.03519,12103.135,,,
303000,29.28145741,22.3828125,22.6796875,0,0,13.42327071,0,1,47.26904729,33.87019065,708.619469,-5.664269912,13.97457913,0.165421207,433.4933628,4.802413535,0.376244469,88.00380254,32802.7966,12316.416,,,
304000,29.42309346,22.3828125,22.71229931,0,0,13.43212891,0,1,46.74946244,33.38891826,706.0194954,-6.098623853,13.97661626,0.16306074,427.5286697,4.73602015,0.366667861,87.9912199,33168.0744,12528.852,,,
305000,29.53989955,22.3828125,22.70870536,0,0,13.43338449,0,1,46.76785714,33.30405099,697.3236607,-6.150669643,13.9740557,0.162719727,426.5407366,4.659543719,0.37046596,87.96278599,33535.03711,12740.763,,,
306000,29.67082868,22.3828125,22.72300502,0,0,13.44384766,0,1,46.18111747,32.7708653,686.8861607,-5.921875,13.96892875,0.160017831,419.1757813,4.47240557,0.355006627,87.97101702,33902.67216,12952.339,,,
307000,29.78336149,22.3828125,22.6796875,0,0,13.44384766,0,1,46.4025549,32.95183611,683.8153153,-6.156531532,13.9802796,0.160883723,421.3248874,4.502387519,0.368410403,87.96473818,34260.73902,13163.688,,,
